id,Kanji,Old Kanji,Radical,Strokes,Grade,JLPT,Meanings,Kun yomi,Kun romaji,On yomi,On romaji
373,級,,糸,9,3,1,rank,,,キュウ,kyuu
374,糾,,糸,9,S,1,twist,,,キュウ,kyuu
375,宮,,宀,10,3,1,Shinto shrine,みや, miya,"キュウ, グウ, （ク）","kyuu,  guu,  (ku)"
376,救,,攴,11,5,1,salvation,すく-う, suku-u,キュウ,kyuu
377,球,,玉,11,3,3,sphere,たま, tama,キュウ,kyuu
378,給,,糸,12,4,3,salary,,,キュウ,kyuu
379,嗅,,口,13,S,0,smell,か-ぐ, ka-gu,キュウ,kyuu
380,窮,,穴,15,S,1,hard up,"きわ-める, きわ-まる"," kiwa-meru,  kiwa-maru",キュウ,kyuu
381,牛,,牛,4,2,4,cow,うし, ushi,ギュウ,gyuu
382,去,,厶,5,3,4,leave,さ-る, sa-ru,"キョ, コ","kyo,  ko"
383,巨,,工,4,S,2,gigantic,,,キョ,kyo
384,居,,尸,8,5,3,reside,い-る, i-ru,キョ,kyo
385,拒,,手,8,S,1,repel,こば-む, koba-mu,キョ,kyo
386,拠,據,手,8,S,1,foothold,,,"キョ, コ","kyo,  ko"
387,挙,擧,手,10,4,1,raise,"あ-げる, あ-がる"," a-geru,  a-garu",キョ,kyo
388,虚,虛,虍,11,S,1,void,,,"キョ, （コ）","kyo,  (ko)"
389,許,,言,11,5,3,permit,ゆる-す, yuru-su,キョ,kyo
390,距,,足,12,S,1,long-distance,,,キョ,kyo
391,魚,,魚,11,2,4,fish,"うお, さかな"," uo,  sakana",ギョ,gyo
392,御,,彳,12,S,3,honorable,おん, on,"ギョ, ゴ","gyo,  go"
393,漁,,水,14,4,2,fishing,,,"ギョ, リョウ","gyo,  ryou"
394,凶,,凵,4,S,1,villain,,,キョウ,kyou
395,共,,八,6,4,3,together,とも, tomo,キョウ,kyou
396,叫,,口,6,S,2,shout,さけ-ぶ, sake-bu,キョウ,kyou
397,狂,,犬,7,S,1,lunatic,"くる-う, くる-おしい"," kuru-u,  kuru-oshii",キョウ,kyou
398,京,,亠,8,2,4,capital,,,"キョウ, ケイ","kyou,  kei"
399,享,,亠,8,S,1,receive,,,キョウ,kyou
400,供,,人,8,6,3,offer,"そな-える, とも"," sona-eru,  tomo","キョウ, （ク）","kyou,  (ku)"
401,協,,十,8,4,2,cooperation,,,キョウ,kyou
402,況,,水,8,S,2,condition,,,キョウ,kyou
403,峡,峽,山,9,S,1,gorge,,,キョウ,kyou
404,挟,挾,手,9,S,2,pinch,"はさ-む, はさ-まる"," hasa-mu,  hasa-maru",キョウ,kyou
405,狭,狹,犬,9,S,1,cramped,"せま-い, せば-める, せば-まる"," sema-i,  seba-meru,  seba-maru",キョウ,kyou
406,恐,,心,10,S,3,fear,"おそ-れる, おそ-ろしい"," oso-reru,  oso-roshii",キョウ,kyou
407,恭,,心,10,S,1,respect,うやうや-しい, uyauya-shii,キョウ,kyou
408,胸,,肉,10,6,2,bosom,"むね, （むな）"," mune,  (muna)",キョウ,kyou
409,脅,,肉,10,S,1,threaten,"おびや-かす, おど-す, おど-かす"," obiya-kasu,  odo-su,  odo-kasu",キョウ,kyou
410,強,,弓,11,2,4,strong,"つよ-い, つよ-まる, つよ-める, し-いる"," tsuyo-i,  tsuyo-maru,  tsuyo-meru,  shi-iru","キョウ, ゴウ","kyou,  gou"
411,教,,攴,11,2,4,teach,"おし-える, おそ-わる"," oshi-eru,  oso-waru",キョウ,kyou
412,郷,鄕,邑,11,6,1,home town,,,"キョウ, ゴウ","kyou,  gou"
413,境,,土,14,5,2,boundary,さかい, sakai,"キョウ, （ケイ）","kyou,  (kei)"
414,橋,,木,16,3,2,bridge,はし, hashi,キョウ,kyou
415,矯,,矢,17,S,1,rectify,た-める, ta-meru,キョウ,kyou
416,鏡,,金,19,4,1,mirror,かがみ, kagami,キョウ,kyou
417,競,,立,20,4,2,compete,"きそ-う, せ-る"," kiso-u,  se-ru","キョウ, ケイ","kyou,  kei"
418,響,響,音,20,S,1,echo,ひび-く, hibi-ku,キョウ,kyou
419,驚,,馬,22,S,1,wonder,"おどろ-く, おどろ-かす"," odoro-ku,  odoro-kasu",キョウ,kyou
420,仰,,人,6,S,1,face-up,"あお-ぐ, おお-せ"," ao-gu,  oo-se","ギョウ, （コウ）","gyou,  (kou)"
421,暁,曉,日,12,S,1,daybreak,あかつき, akatsuki,ギョウ,gyou
422,業,,木,13,3,4,business,わざ, waza,"ギョウ, ゴウ","gyou,  gou"
423,凝,,冫,16,S,1,congeal,"こ-る, こ-らす"," ko-ru,  ko-rasu",ギョウ,gyou
424,曲,,曰,6,3,3,musical composition,"ま-がる, ま-げる"," ma-garu,  ma-geru",キョク,kyoku
425,局,,尸,7,3,3,office,,,キョク,kyoku
426,極,,木,12,4,2,poles,"きわ-める, きわ-まる, きわ-み"," kiwa-meru,  kiwa-maru,  kiwa-mi","キョク, ゴク","kyoku,  goku"
427,玉,,玉,5,1,2,ball,たま, tama,ギョク,gyoku
428,巾,,巾,3,S,0,towel,,,キン,kin
429,斤,,斤,4,S,1,axe,,,キン,kin
430,均,,土,7,5,2,level,,,キン,kin
431,近,,辵,7,2,4,near,ちか-い, chika-i,キン,kin
432,金,,金,8,1,5,gold,"かね, （かな）"," kane,  (kana)","キン, コン","kin,  kon"
433,菌,,艸,11,S,1,germ,,,キン,kin
434,勤,勤,力,12,6,3,diligence,"つと-める, つと-まる"," tsuto-meru,  tsuto-maru","キン, （ゴン）","kin,  (gon)"
435,琴,,玉,12,S,1,harp,こと, koto,キン,kin
436,筋,,竹,12,6,1,muscle,すじ, suji,キン,kin
437,僅,,人,13,S,0,a wee bit,わず-か, wazu-ka,キン,kin
438,禁,,示,13,5,2,prohibition,,,キン,kin
439,緊,,糸,15,S,1,tense,,,キン,kin
440,錦,,金,16,S,1,brocade,にしき, nishiki,キン,kin
441,謹,謹,言,17,S,1,discreet,つつし-む, tsutsushi-mu,キン,kin
442,襟,,衣,18,S,1,collar,えり, eri,キン,kin
443,吟,,口,7,S,1,versify,,,ギン,gin
444,銀,,金,14,3,4,silver,,,ギン,gin
445,区,區,匸,4,3,3,ward,,,ク,ku
446,句,,口,5,5,1,phrase,,,ク,ku
447,苦,,艸,8,3,3,suffer,"くる-しい, くる-しむ, くる-しめる, にが-い, にが-る"," kuru-shii,  kuru-shimu,  kuru-shimeru,  niga-i,  niga-ru",ク,ku
448,駆,驅,馬,14,S,1,drive,"か-ける, か-る"," ka-keru,  ka-ru",ク,ku
449,具,,八,8,3,3,tool,,,グ,gu
450,惧,,心,11,S,0,dread,,,グ,gu
451,愚,,心,13,S,1,foolish,おろ-か, oro-ka,グ,gu
452,空,,穴,8,1,4,sky,"そら, あ-く, あ-ける, から"," sora,  a-ku,  a-keru,  kara",クウ,kuu
453,偶,,人,11,S,3,accidentally,,,グウ,guu
454,遇,,辵,12,S,1,interview,,,グウ,guu
455,隅,,阜,12,S,2,corner,すみ, sumi,グウ,guu
456,串,,丨,7,S,0,skewer,くし,kushi,,
457,屈,,尸,8,S,1,yield,,,クツ,kutsu
458,掘,,手,11,S,2,dig,ほ-る, ho-ru,クツ,kutsu
459,窟,,穴,13,S,0,cavern,,,クツ,kutsu
460,熊,,火,14,4,1,bear,くま,kuma,,
461,繰,,糸,19,S,1,winding,く-る,ku-ru,,
462,君,,口,7,3,3,you,きみ, kimi,クン,kun
463,訓,,言,10,4,2,instruction,,,クン,kun
464,勲,勳,力,15,S,1,meritorious deed,,,クン,kun
465,薫,薰,艸,16,S,1,fragrant,かお-る, kao-ru,クン,kun
466,軍,,車,9,4,2,army,,,グン,gun
467,郡,,邑,10,4,1,county,,,グン,gun
468,群,,羊,13,4,2,flock,"む-れる, む-れ, （むら）"," mu-reru,  mu-re,  (mura)",グン,gun
469,兄,,儿,5,2,4,older brother,あに, ani,"ケイ, （キョウ）","kei,  (kyou)"
470,刑,,刀,6,S,1,punish,,,ケイ,kei
471,形,,彡,7,2,3,shape,"かた, かたち"," kata,  katachi","ケイ, ギョウ","kei,  gyou"
472,系,,糸,7,6,1,lineage,,,ケイ,kei
473,径,徑,彳,8,4,1,diameter,,,ケイ,kei
474,茎,莖,艸,8,S,1,stalk,くき, kuki,ケイ,kei
475,係,,人,9,3,3,person in charge,"かか-る, かかり"," kaka-ru,  kakari",ケイ,kei
476,型,,土,9,5,2,model,かた, kata,ケイ,kei
477,契,,大,9,S,1,pledge,ちぎ-る, chigi-ru,ケイ,kei
478,計,,言,9,2,4,measure,"はか-る, はか-らう"," haka-ru,  haka-rau",ケイ,kei
479,恵,惠,心,10,S,2,favor,めぐ-む, megu-mu,"ケイ, エ","kei,  e"
480,啓,,口,11,S,1,disclose,,,ケイ,kei
481,掲,揭,手,11,S,1,put up (a notice),かか-げる, kaka-geru,ケイ,kei
482,渓,溪,水,11,S,1,mountain stream,,,ケイ,kei
483,経,經,糸,11,5,3,manage,へ-る, he-ru,"ケイ, キョウ","kei,  kyou"
484,蛍,螢,虫,11,S,1,lightning-bug,ほたる, hotaru,ケイ,kei
485,敬,,攴,12,6,2,respect,うやま-う, uyama-u,ケイ,kei
486,景,,日,12,4,3,scenery,,,ケイ,kei
487,軽,輕,車,12,3,3,light,"かる-い, かろ-やか"," karu-i,  karo-yaka",ケイ,kei
488,傾,,人,13,S,2,lean,"かたむ-く, かたむ-ける"," katamu-ku,  katamu-keru",ケイ,kei
489,携,,手,13,S,1,portable,"たずさ-える, たずさ-わる"," tazusa-eru,  tazusa-waru",ケイ,kei
490,継,繼,糸,13,S,1,inherit,つ-ぐ, tsu-gu,ケイ,kei
491,詣,,言,13,S,0,visit a temple,もう-でる, mou-deru,ケイ,kei
492,慶,,心,15,S,1,jubilation,,,ケイ,kei
493,憬,,心,15,S,0,long for,,,ケイ,kei
494,稽,,禾,15,S,0,consider,,,ケイ,kei
495,憩,,心,16,S,1,recess,"いこ-い, いこ-う"," iko-i,  iko-u",ケイ,kei
496,警,,言,19,6,3,guard against,,,ケイ,kei
497,鶏,鷄,鳥,19,S,1,chicken,にわとり, niwatori,ケイ,kei
498,芸,藝,艸,7,4,2,art,,,ゲイ,gei
499,迎,,辵,7,S,3,welcome,むか-える, muka-eru,ゲイ,gei
500,鯨,,魚,19,S,1,whale,くじら, kujira,ゲイ,gei
501,隙,,阜,13,S,0,fissure,すき, suki,ゲキ,geki
502,劇,,刀,15,6,2,drama,,,ゲキ,geki
503,撃,擊,手,15,S,1,beat,う-つ, u-tsu,ゲキ,geki
504,激,,水,16,6,1,violent,はげ-しい, hage-shii,ゲキ,geki
505,桁,,木,10,S,0,beam,けた,keta,,
506,欠,缺,缶,4,4,3,lack,"か-ける, か-く"," ka-keru,  ka-ku",ケツ,ketsu
507,穴,,穴,5,6,1,hole,あな, ana,ケツ,ketsu
508,血,,血,6,3,2,blood,ち, chi,ケツ,ketsu
509,決,,水,7,3,3,decide,"き-める, き-まる"," ki-meru,  ki-maru",ケツ,ketsu
510,結,,糸,12,4,1,tie,"むす-ぶ, ゆ-う, ゆ-わえる"," musu-bu,  yu-u,  yu-waeru",ケツ,ketsu
511,傑,,人,13,S,1,greatness,,,ケツ,ketsu
512,潔,,水,15,5,1,undefiled,いさぎよ-い, isagiyo-i,ケツ,ketsu
513,月,,月,4,1,5,"month, moon",つき, tsuki,"ゲツ, ガツ","getsu,  gatsu"
514,犬,,犬,4,1,4,dog,いぬ, inu,ケン,ken
515,件,,人,6,5,3,affair,,,ケン,ken
516,見,,見,7,1,5,see,"み-る, み-える, み-せる"," mi-ru,  mi-eru,  mi-seru",ケン,ken
517,券,,刀,8,6,2,ticket,,,ケン,ken
518,肩,,肉,8,S,2,shoulder,かた, kata,ケン,ken
519,建,,廴,9,4,4,build,"た-てる, た-つ"," ta-teru,  ta-tsu","ケン, （コン）","ken,  (kon)"
520,研,硏,石,9,3,4,sharpen,と-ぐ, to-gu,ケン,ken
521,県,縣,糸,9,3,3,prefecture,,,ケン,ken
522,倹,儉,人,10,S,1,frugal,,,ケン,ken
523,兼,,八,10,S,1,concurrently,か-ねる, ka-neru,ケン,ken
524,剣,劍,刀,10,S,1,sabre,つるぎ, tsurugi,ケン,ken
525,拳,,手,10,S,1,fist,こぶし, kobushi,ケン,ken
526,軒,,車,10,S,2,flats,のき, noki,ケン,ken
527,健,,人,11,4,2,healthy,すこ-やか, suko-yaka,ケン,ken
528,険,險,阜,11,5,3,precipitous,けわ-しい, kewa-shii,ケン,ken
529,圏,圈,囗,12,S,1,sphere,,,ケン,ken
530,堅,,土,12,S,1,strict,かた-い, kata-i,ケン,ken
531,検,檢,木,12,5,1,examine,,,ケン,ken
532,嫌,,女,13,S,1,dislike,"きら-う, いや"," kira-u,  iya","ケン, （ゲン）","ken,  (gen)"
533,献,獻,犬,13,S,1,offering,,,"ケン, （コン）","ken,  (kon)"
534,絹,,糸,13,6,1,silk,きぬ, kinu,ケン,ken
535,遣,,辵,13,S,1,dispatch,"つか-う, つか-わす"," tsuka-u,  tsuka-wasu",ケン,ken
536,権,權,木,15,6,3,rights,,,"ケン, （ゴン）","ken,  (gon)"
537,憲,,心,16,6,1,constitution,,,ケン,ken
538,賢,,貝,16,S,2,intelligent,かしこ-い, kashiko-i,ケン,ken
539,謙,,言,17,S,1,self-effacing,,,ケン,ken
540,鍵,,金,17,S,0,key,かぎ, kagi,ケン,ken
541,繭,,糸,18,S,1,cocoon,まゆ, mayu,ケン,ken
542,顕,顯,頁,18,S,1,appear,,,ケン,ken
543,験,驗,馬,18,4,4,test,,,"ケン, （ゲン）","ken,  (gen)"
544,懸,,心,20,S,1,suspend,"か-ける, か-かる"," ka-keru,  ka-karu","ケン, （ケ）","ken,  (ke)"
545,元,,儿,4,2,4,origin,もと, moto,"ゲン, ガン","gen,  gan"
546,幻,,幺,4,S,1,phantasm,まぼろし, maboroshi,ゲン,gen
547,玄,,玄,5,S,1,mysterious,,,ゲン,gen
548,言,,言,7,2,4,say,"い-う, こと"," i-u,  koto","ゲン, ゴン","gen,  gon"
549,弦,,弓,8,S,1,bowstring,つる, tsuru,ゲン,gen
550,限,,阜,9,5,3,limit,かぎ-る, kagi-ru,ゲン,gen
551,原,,厂,10,2,3,field,はら, hara,ゲン,gen
552,現,,玉,11,5,3,appear,"あらわ-れる, あらわ-す"," arawa-reru,  arawa-su",ゲン,gen
553,舷,,舟,11,S,0,gunwale,,,ゲン,gen
554,減,,水,12,5,2,decrease,"へ-る, へ-らす"," he-ru,  he-rasu",ゲン,gen
555,源,,水,13,6,1,origin,みなもと, minamoto,ゲン,gen
556,厳,嚴,口,17,6,1,strict,"おごそ-か, きび-しい"," ogoso-ka,  kibi-shii","ゲン, （ゴン）","gen,  (gon)"
557,己,,己,3,6,1,self,おのれ, onore,"コ, キ","ko,  ki"
558,戸,,戶,4,2,2,door,と, to,コ,ko
559,古,,口,5,2,4,old,"ふる-い, ふる-す"," furu-i,  furu-su",コ,ko
560,呼,,口,8,6,3,call,よ-ぶ, yo-bu,コ,ko
561,固,,囗,8,4,2,hard,"かた-める, かた-まる, かた-い"," kata-meru,  kata-maru,  kata-i",コ,ko
562,股,,肉,8,S,0,crotch,また, mata,コ,ko
563,虎,,虍,8,S,1,tiger,とら, tora,コ,ko
564,孤,,子,9,S,1,orphan,,,コ,ko
565,弧,,弓,9,S,1,arc,,,コ,ko
566,故,,攴,9,5,2,circumstances,ゆえ, yue,コ,ko
567,枯,,木,9,S,2,wither,"か-れる, か-らす"," ka-reru,  ka-rasu",コ,ko
568,個,,人,10,5,2,individual,,,コ,ko
569,庫,,广,10,3,2,warehouse,,,"コ, （ク）","ko,  (ku)"
570,湖,,水,12,3,2,lake,みずうみ, mizuumi,コ,ko
571,雇,,隹,12,S,2,employ,やと-う, yato-u,コ,ko
572,誇,,言,13,S,1,boast,ほこ-る, hoko-ru,コ,ko
573,鼓,,鼓,13,S,1,drum,つづみ, tsuzumi,コ,ko
574,錮,,金,16,S,0,tie up,,,コ,ko
575,顧,,頁,21,S,1,look back,かえり-みる, kaeri-miru,コ,ko
576,五,,二,4,1,5,five,"いつ, いつ-つ"," itsu,  itsu-tsu",ゴ,go
577,互,,二,4,S,3,mutually,たが-い, taga-i,ゴ,go
578,午,,十,4,2,5,noon,,,ゴ,go
579,呉,,口,7,S,1,give,,,ゴ,go
580,後,,彳,9,2,5,behind,"のち, うし-ろ, あと, おく-れる"," nochi,  ushi-ro,  ato,  oku-reru","ゴ, コウ","go,  kou"
581,娯,,女,10,S,1,recreation,,,ゴ,go
582,悟,,心,10,S,1,enlightenment,さと-る, sato-ru,ゴ,go
583,碁,,石,13,S,1,Go,,,ゴ,go
584,語,,言,14,2,5,language,"かた-る, かた-らう"," kata-ru,  kata-rau",ゴ,go
585,誤,,言,14,6,3,mistake,あやま-る, ayama-ru,ゴ,go
586,護,,言,20,5,1,safeguard,,,ゴ,go
587,口,,口,3,1,4,mouth,くち, kuchi,"コウ, ク","kou,  ku"
588,工,,工,3,2,4,craft,,,"コウ, ク","kou,  ku"
589,公,,八,4,2,2,public,おおやけ, ooyake,コウ,kou
590,勾,,勹,4,S,0,capture,,,コウ,kou
591,孔,,子,4,S,1,cavity,,,コウ,kou
592,功,,力,5,4,1,achievement,,,"コウ, （ク）","kou,  (ku)"
593,巧,,工,5,S,1,adroit,たく-み, taku-mi,コウ,kou
594,広,廣,广,5,2,4,wide,"ひろ-い, ひろ-まる, ひろ-める, ひろ-がる, ひろ-げる"," hiro-i,  hiro-maru,  hiro-meru,  hiro-garu,  hiro-geru",コウ,kou
595,甲,,田,5,S,1,armor,,,"コウ, カン","kou,  kan"
596,交,,亠,6,2,3,mix,"まじ-わる, まじ-える, ま-じる, ま-ざる, ま-ぜる, か-う, か-わす"," maji-waru,  maji-eru,  ma-jiru,  ma-zaru,  ma-zeru,  ka-u,  ka-wasu",コウ,kou
597,光,,儿,6,2,3,ray,"ひか-る, ひかり"," hika-ru,  hikari",コウ,kou
598,向,,口,6,3,3,over there,"む-く, む-ける, む-かう, む-こう"," mu-ku,  mu-keru,  mu-kau,  mu-kou",コウ,kou
599,后,,口,6,6,1,empress,,,コウ,kou
600,好,,女,6,4,3,like,"この-む, す-く"," kono-mu,  su-ku",コウ,kou
601,江,,水,6,S,1,inlet,え, e,コウ,kou
602,考,,老,6,2,4,think,かんが-える, kanga-eru,コウ,kou
603,行,,行,6,2,5,go,"い-く, ゆ-く, おこな-う"," i-ku,  yu-ku,  okona-u","コウ, ギョウ, （アン）","kou,  gyou,  (an)"
604,坑,,土,7,S,1,pit,,,コウ,kou
605,孝,,子,7,6,1,filial piety,,,コウ,kou
606,抗,,手,7,S,1,confront,,,コウ,kou
607,攻,,攴,7,S,1,aggression,せ-める, se-meru,コウ,kou
608,更,,曰,7,S,3,grow late,"さら, ふ-ける, ふ-かす"," sara,  fu-keru,  fu-kasu",コウ,kou
609,効,效,力,8,5,2,effect,き-く, ki-ku,コウ,kou
610,幸,,干,8,3,3,happiness,"さいわ-い, さち, しあわ-せ"," saiwa-i,  sachi,  shiawa-se",コウ,kou
611,拘,,手,8,S,1,arrest,,,コウ,kou
612,肯,,肉,8,S,2,agreement,,,コウ,kou
613,侯,,人,9,S,1,marquis,,,コウ,kou
614,厚,,厂,9,5,2,thick,あつ-い, atsu-i,コウ,kou
615,恒,恆,心,9,S,1,constancy,,,コウ,kou
616,洪,,水,9,S,1,deluge,,,コウ,kou
617,皇,,白,9,6,1,emperor,,,"コウ, オウ","kou,  ou"
618,紅,,糸,9,6,2,deep red,"べに, くれない"," beni,  kurenai","コウ, （ク）","kou,  (ku)"
619,荒,,艸,9,S,2,laid waste,"あら-い, あ-れる, あ-らす"," ara-i,  a-reru,  a-rasu",コウ,kou
620,郊,,邑,9,S,2,outskirts,,,コウ,kou
621,香,,香,9,4,2,incense,"か, かお-り, かお-る"," ka,  kao-ri,  kao-ru","コウ, （キョウ）","kou,  (kyou)"
622,候,,人,10,4,3,climate,そうろう, sourou,コウ,kou
623,校,,木,10,1,5,school,,,コウ,kou
624,耕,,耒,10,5,2,till,たがや-す, tagaya-su,コウ,kou
625,航,,舟,10,5,2,cruise,,,コウ,kou
626,貢,,貝,10,S,1,tribute,みつ-ぐ, mitsu-gu,"コウ, （ク）","kou,  (ku)"
627,降,,阜,10,6,3,descend,"お-りる, お-ろす, ふ-る"," o-riru,  o-rosu,  fu-ru",コウ,kou
628,高,,高,10,2,5,"tall, expensive","たか-い, たか, たか-まる, たか-める"," taka-i,  taka,  taka-maru,  taka-meru",コウ,kou
629,康,,广,11,4,2,health,,,コウ,kou
630,控,,手,11,S,1,withdraw,ひか-える, hika-eru,コウ,kou
631,梗,,木,11,S,0,close up,,,コウ,kou
632,黄,黃,黃,11,2,2,yellow,"き, （こ）"," ki,  (ko)","コウ, オウ","kou,  ou"
633,喉,,口,12,S,0,throat,のど, nodo,コウ,kou
634,慌,,心,12,S,0,disconcerted,"あわ-てる, あわ-ただしい"," awa-teru,  awa-tadashii",コウ,kou
635,港,,水,12,3,3,harbor,みなと, minato,コウ,kou
636,硬,,石,12,S,2,stiff,かた-い, kata-i,コウ,kou
637,絞,,糸,12,S,1,strangle,"しぼ-る, し-める, し-まる"," shibo-ru,  shi-meru,  shi-maru",コウ,kou
638,項,,頁,12,S,1,paragraph,,,コウ,kou
639,溝,,水,13,S,1,gutter,みぞ, mizo,コウ,kou
640,鉱,鑛,金,13,5,2,mineral,,,コウ,kou
641,構,,木,14,5,3,construct,"かま-える, かま-う"," kama-eru,  kama-u",コウ,kou
642,綱,,糸,14,S,1,hawser,つな, tsuna,コウ,kou
643,酵,,酉,14,S,1,fermentation,,,コウ,kou
644,稿,,禾,15,S,1,draft,,,コウ,kou
645,興,,臼,16,5,1,entertain,"おこ-る, おこ-す"," oko-ru,  oko-su","コウ, キョウ","kou,  kyou"
646,衡,,行,16,S,1,equilibrium,,,コウ,kou
647,鋼,,金,16,6,1,steel,はがね, hagane,コウ,kou
648,講,,言,17,5,2,lecture,,,コウ,kou
649,購,,貝,17,S,1,subscription,,,コウ,kou
650,乞,,乙,3,S,0,beg,こ-う,ko-u,,
651,号,號,虍,5,3,3,number,,,ゴウ,gou
652,合,,口,6,2,3,fit,"あ-う, あ-わす, あ-わせる"," a-u,  a-wasu,  a-waseru","ゴウ, ガッ, （カッ）","gou,  ga',  (ka')"
653,拷,,手,9,S,1,torture,,,ゴウ,gou
654,剛,,刀,10,S,1,sturdy,,,ゴウ,gou
655,傲,,人,13,S,0,be proud,,,ゴウ,gou
656,豪,,豕,14,S,1,overpowering,,,ゴウ,gou
657,克,,儿,7,S,1,overcome,,,コク,koku
658,告,,口,7,5,3,tell,つ-げる, tsu-geru,コク,koku
659,谷,,谷,7,2,2,valley,たに, tani,コク,koku
660,刻,,刀,8,6,3,engrave,きざ-む, kiza-mu,コク,koku
661,国,國,囗,8,2,5,country,くに, kuni,コク,koku
662,黒,黑,黑,11,2,4,black,"くろ, くろ-い"," kuro,  kuro-i",コク,koku
663,穀,穀,禾,14,6,1,cereals,,,コク,koku
664,酷,,酉,14,S,1,cruel,,,コク,koku
665,獄,,犬,14,S,1,prison,,,ゴク,goku
666,骨,,骨,10,6,2,bone,ほね, hone,コツ,kotsu
667,駒,,馬,15,S,1,horse,こま,koma,,
668,込,,辵,5,S,3,crowded,"こ-む, こ-める","ko-mu,  ko-meru",,
669,頃,,頁,11,S,0,times,ころ,koro,,
670,今,,人,4,2,5,now,いま, ima,"コン, キン","kon,  kin"
671,困,,囗,7,6,3,become distressed,こま-る, koma-ru,コン,kon
672,昆,,日,8,S,1,descendants,,,コン,kon
673,恨,,心,9,S,1,rancor,"うら-む, うら-めしい"," ura-mu,  ura-meshii",コン,kon
674,根,,木,10,3,2,root,ね, ne,コン,kon
675,婚,,女,11,S,3,marriage,,,コン,kon
676,混,,水,11,5,2,mix,"ま-じる, ま-ざる, ま-ぜる, こ-む"," ma-jiru,  ma-zaru,  ma-zeru,  ko-mu",コン,kon
677,痕,,疒,11,S,0,mark,あと, ato,コン,kon
678,紺,,糸,11,S,1,dark blue,,,コン,kon
679,魂,,鬼,14,S,1,soul,たましい, tamashii,コン,kon
680,墾,,土,16,S,1,ground-breaking,,,コン,kon
681,懇,,心,17,S,1,sociable,ねんご-ろ, nengo-ro,コン,kon
682,左,,工,5,1,5,left (direction),ひだり, hidari,サ,sa
683,佐,,人,7,4,1,help,,,サ,sa
684,沙,,水,7,S,1,sand,,,サ,sa
685,査,,木,9,5,2,investigate,,,サ,sa
686,砂,,石,9,6,2,sand,すな, suna,"サ, シャ","sa,  sha"
687,唆,,口,10,S,1,tempt,そそのか-す, sosonoka-su,サ,sa
688,差,,工,10,4,3,distinction,さ-す, sa-su,サ,sa
689,詐,,言,12,S,1,lie,,,サ,sa
690,鎖,,金,18,S,1,chain,くさり, kusari,サ,sa
691,座,,广,10,6,3,sit,すわ-る, suwa-ru,ザ,za
692,挫,,手,10,S,0,sprain,,,ザ,za
693,才,,手,3,2,3,genius,,,サイ,sai
694,再,,冂,6,5,2,again,ふたた-び, futata-bi,"サイ, （サ）","sai,  (sa)"
695,災,,火,7,5,1,disaster,わざわ-い, wazawa-i,サイ,sai
696,妻,,女,8,5,3,wife,つま, tsuma,サイ,sai
697,采,,釆,8,S,1,form,,,サイ,sai
698,砕,碎,石,9,S,1,smash,"くだ-く, くだ-ける"," kuda-ku,  kuda-keru",サイ,sai
699,宰,,宀,10,S,1,superintend,,,サイ,sai
700,栽,,木,10,S,1,plantation,,,サイ,sai
701,彩,,彡,11,S,1,coloring,いろど-る, irodo-ru,サイ,sai
702,採,,手,11,5,2,pick,と-る, to-ru,サイ,sai
703,済,濟,水,11,6,3,settle,"す-む, す-ます"," su-mu,  su-masu",サイ,sai
704,祭,,示,11,3,2,festival,"まつ-る, まつ-り"," matsu-ru,  matsu-ri",サイ,sai
705,斎,齋,齊,11,S,1,purification,,,サイ,sai
706,細,,糸,11,2,2,thin,"ほそ-い, ほそ-る, こま-か, こま-かい"," hoso-i,  hoso-ru,  koma-ka,  koma-kai",サイ,sai
707,菜,,艸,11,4,3,vegetable,な, na,サイ,sai
708,最,,曰,12,4,3,most,もっと-も, motto-mo,サイ,sai
709,裁,,衣,12,6,1,judge,"た-つ, さば-く"," ta-tsu,  saba-ku",サイ,sai
710,債,,人,13,S,1,bond,,,サイ,sai
711,催,,人,13,S,1,sponsor,もよお-す, moyoo-su,サイ,sai
712,塞,,土,13,S,0,obstruct,"ふさ-ぐ, ふさ-がる"," fusa-gu,  fusa-garu","サイ, ソク","sai,  soku"
713,歳,,止,13,S,3,year-end,,,"サイ, （セイ）","sai,  (sei)"
714,載,,車,13,S,1,ride,"の-せる, の-る"," no-seru,  no-ru",サイ,sai
715,際,,阜,14,5,3,occasion,きわ, kiwa,サイ,sai
716,埼,,土,11,4,0,cape (geography),（さい）,(sai),,
717,在,,土,6,5,3,exist,あ-る, a-ru,ザイ,zai
718,材,,木,7,4,2,lumber,,,ザイ,zai
719,剤,劑,刀,10,S,1,dose,,,ザイ,zai
720,財,,貝,10,5,3,wealth,,,"ザイ, （サイ）","zai,  (sai)"
721,罪,,网,13,5,3,guilt,つみ, tsumi,ザイ,zai
722,崎,,山,11,4,1,promontory,さき,saki,,
723,作,,人,7,2,4,make,つく-る, tsuku-ru,"サク, サ","saku,  sa"
724,削,,刀,9,S,1,plane,けず-る, kezu-ru,サク,saku
725,昨,,日,9,4,3,previous,,,サク,saku
726,柵,,木,9,S,0,fence,,,サク,saku
727,索,,糸,10,S,1,cord,,,サク,saku
728,策,,竹,12,6,1,scheme,,,サク,saku
729,酢,,酉,12,S,1,vinegar,す, su,サク,saku
730,搾,,手,13,S,1,squeeze,しぼ-る, shibo-ru,サク,saku
